,Mission,Launch Date,launch_link,mission_headline
119,Crew Demo-2 Launch and Docking,"MAY 30, 2020",/launches/crew-demo-2-mission-update-5-30-2020/," On Saturday, May 30 at 3:22 p.m. EDT, SpaceX’s Falcon 9 launched Crew Dragon’s second demonstration (Demo-2) mission from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida, and the next day Crew Dragon autonomously docked to the International Space Station. This test flight with NASA astronauts Bob Behnken and Doug Hurley on board the Dragon spacecraft returned human spaceflight to the United States.,  Demo-2 is the final major test for SpaceX’s human spaceflight system to be certified by NASA for operational crew missions to and from the International Space Station. SpaceX is returning human spaceflight to the United States with one of the safest, most advanced systems ever built, and NASA’s Commercial Crew Program is a turning point for America’s future in space exploration that lays the groundwork for future missions to the Moon, Mars, and beyond."
120,STARLINK MISSION,"APRIL 23, 2020",/launches/starlink-mission-04-23-2020/," On Wednesday, April 22 at 3:30 p.m. EDT, or 19:30 p.m. UTC, SpaceX launched its seventh Starlink mission. Falcon 9 lifted off from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida. Falcon 9’s first stage previously supported Crew Dragon’s first flight to the International Space Station, launch of the RADARSAT Constellation Mission, and the fourth Starlink mission. Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean.,  Falcon 9’s fairing previously supported the AMOS-17 mission. You can watch a replay of launch above and learn more about the missionhere."
121,CREW DEMO-2 MISSION,"APRIL 17, 2020",/launches/crew-demo-2-mission/," SpaceX and NASA are targeting May 27 for Falcon 9’s launch of Crew Dragon’s second demonstration mission (Demo-2) from historic Launch Complex 39A at NASA’s Kennedy Space Center in Florida as part of NASA’sCommercial Crew Program. NASA astronautsBob BehnkenandDoug Hurleywill be the first two NASA astronauts to fly onboard the Dragon spacecraft as part of the Demo-2 mission to and from the International Space Station, which will return human spaceflight to the United States since the Space Shuttle was retired in 2011.,  Filled with approximately 4,500 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on March 6, 2020 from Cape Canaveral Air Force Station in Florida. The Dragon spacecraft that supported the CRS-20 mission previously supported the CRS-10 mission in February 2017 and the CRS-16 mission in December 2018. Dragon is the only spacecraft currently flying thats capable of returning significant amounts of cargo to Earth."
122,DRAGON RESUPPLY MISSION (CRS-20) SPLASHDOWN,"APRIL 08, 2020",/launches/dragon-resupply-mission-crs-20-splashdown/," Packed with more than 4,000 pounds of cargo and science, SpaceX’s Dragon spacecraft departed the International Space Station on Tuesday, April 7. A parachute-assisted splashdown in the Pacific Ocean occurred that morning just west of Baja California. A recovery team then secured Dragon on a boat for the return trip to the Port of Los Angeles, wrapping up SpaceX’s 20th resupply mission to the space station and the final mission to use the first iteration of Dragon.,  Filled with approximately 4,500 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on March 6, 2020 from Cape Canaveral Air Force Station in Florida and arrived at the space station on March 9. The Dragon spacecraft supporting the CRS-20 mission previously supported the CRS-10 mission in February 2017 and the CRS-16 mission in December 2018. Dragon is the only spacecraft currently flying that is capable of returning significant amounts of cargo to Earth."
123,STARLINK MISSION,"MARCH 18, 2020",/launches/starlink-mission-03-18-2020/," At 8:16 a.m. EDT, or 12:16 UTC, on Wednesday, March 18, SpaceX launched its sixth Starlink mission. Falcon 9 lifted off from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida.,  Falcon 9’s first stage previously supported the Iridium-7 NEXT mission in July 2018, the SAOCOM 1A mission in October 2018, the Nusantara Satu mission in February 2019, and the second launch of Starlink in November 2019. Falcon 9’s fairing previously supported the first launch of Starlink in May 2019. You can watch a replay of launch above and learn more about the missionhere."
124,DRAGON ARRIVES AT THE INTERNATIONAL SPACE STATION,"MARCH 09, 2020",/launches/dragon-arrives-international-space-station-crs-20/," Dragon arrived at the International Space Station on March 9, 2020 and was captured at 3:25 a.m. PDT while flying over 262 statute miles over the Pacific Northwest. The spacecraft was then installed on the Harmony module for the duration of its four-week stay at the orbiting laboratory.,  Filled with approximately 4,500 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on March 6, 2020 from Cape Canaveral Air Force Station in Florida. The Dragon spacecraft that supported the CRS-20 mission previously supported the CRS-10 mission in February 2017 and the CRS-16 mission in December 2018. Dragon is the only spacecraft currently flying thats capable of returning significant amounts of cargo to Earth."
125,DRAGON RESUPPLY MISSION (CRS-20) LAUNCH,"MARCH 09, 2020",/launches/dragon-resupply-mission-crs-20-launch/," On Friday, March 6 at 11:50 p.m. EST, SpaceX launched its twentieth Commercial Resupply Services mission (CRS-20) from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. Dragon separated from Falcon 9’s second stage about nine minutes after liftoff.,  The Dragon spacecraft supporting the CRS-20 mission previously supported the CRS-10 mission in February 2017 and the CRS-16 mission in December 2018, and the Falcon 9 first stage booster supporting this mission previously flew on the CRS-19 mission in December 2019. Following stage separation, SpaceX recovered Falcon 9’s first stage on Landing Zone-1 (LZ-1) at Cape Canaveral Air Force Station, marking the companys 50th landing of an orbital class rocket booster. You can watch a replay of launch above and learn more about the missionhere."
126,STARLINK MISSION,"FEBRUARY 17, 2020",/launches/starlink-mission-02-17-2020/," On Monday, February 17 at 10:05 a.m. EST, or 15:05 UTC, SpaceX launched its fifth Starlink mission from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida.,  Falcon 9’s first stage previously launched the CRS-17 mission in May 2019, the CRS-18 mission in July 2019, and the JCSAT-18/Kacific1 mission in December 2019. You can watch a replay of launch above and learn more about the missionhere."
127,STARLINK MISSION,"JANUARY 29, 2020",/launches/starlink-mission-01-29-2020/," On Wednesday, January 29 at 9:06 a.m. EST, or 14:06 UTC, SpaceX completed its fourth launch of Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. Falcon 9’s first stage previously launched Crew Dragon on its first demonstration mission in March 2019 and the RADARSAT Constellation Mission in June 2019.,  Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. One of SpaceX’s fairing recovery vessels, “Ms. Tree, caught one of the fairing halves. You can watch a replay of launch above and learn more about the missionhere."
128,CREW DRAGON LAUNCH ESCAPE DEMONSTRATION,"JANUARY 19, 2020",/launches/crew-dragon-launch-escape-demonstration/," On Sunday, January 19, SpaceX successfully completed an in-flight test of Crew Dragon’s launch escape capabilities from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida. This test, which did not have NASA astronauts onboard the spacecraft, demonstrated Crew Dragon’s ability to reliably carry crew to safety in the unlikely event of an emergency on ascent. Falcon 9 and Dragon lifted off at 10:30 a.m. EST, or 15:30 UTC, with the abort sequence initiating approximately one and a half minutes into flight.,  Crew Dragons eight SuperDraco engines powered the spacecraft away from Falcon 9 at speeds of over 400 mph. Following separation, Dragons trunk was released and the spacecrafts parachutes were deployed, first the two drogue parachutes followed by the four upgraded Mark III parachutes. Dragon safely splashed down in the Atlantic Ocean and teams successfully recovered the spacecraft onto SpaceXs recovery vessel. You can watch a replay of launch above and learn more about the missionhere."
129,DRAGON RESUPPLY MISSION (CRS-19) SPLASHDOWN,"JANUARY 08, 2020",/launches/dragon-resupply-mission-crs-19-splashdown/," Packed with about 3,800 pounds of cargo and science, SpaceX’s Dragon spacecraft departed the International Space Station on Tuesday, January 7. A parachute-assisted splashdown in the Pacific Ocean occurred that morning just west of Baja California. A recovery team then secured Dragon on a boat for the return trip to the Port of Los Angeles, wrapping up SpaceX’s 19th resupply mission to the space station.,  Filled with approximately 5,700 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on December 5, 2019 from Cape Canaveral Air Force Station in Florida and arrived at the space station on December 8. The Dragon spacecraft supporting the CRS-19 mission previously supported the CRS-4 mission in September 2014 and the CRS-11 mission in June 2017. Dragon is the only spacecraft currently flying that is capable of returning significant amounts of cargo to Earth."
130,STARLINK MISSION,"JANUARY 07, 2020",/launches/starlink-mission-01-07-2020/," On Monday, January 6 at 9:19 p.m. EST, or 2:19 UTC on January 7, SpaceX launched its third launch of Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. Falcon 9’s first stage supported a Starlink mission in May 2019, the Iridium-8 mission in January 2019, and the Telstar 18 VANTAGE mission in September 2018.,  Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. You can watch a replay of launch above and learn more about the missionhere."
131,JCSAT-18/KACIFIC1 MISSION,"DECEMBER 17, 2019",/launches/jcsat-18kacific1-mission/," On Monday, December 16 at 7:10 p.m. EST, SpaceX launched JCSAT-18/Kacific1 from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. The satellite was deployed approximately 33 minutes after liftoff. Falcon 9’s first stage for the JCSAT-18/Kacific1 mission previously supported the CRS-17 mission in May 2019 and the CRS-18 mission in July 2019.,  Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. You can watch a replay of launch above and learn more about the missionhere."
132,DRAGON ARRIVES AT THE INTERNATIONAL SPACE STATION,"DECEMBER 08, 2019",/launches/dragon-arrives-international-space-station/," Dragon arrived at the International Space Station on December 8, 2019 and was captured at 2:05 a.m. PDT while flying over 250 statute miles over the South Pacific. The spacecraft was then installed on the Harmony module for the duration of its four-week stay at the orbiting laboratory. Filled with approximately 5,700 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on December 5, 2019 from Cape Canaveral Air Force Station in Florida.,  The Dragon spacecraft that supported the CRS-19 mission previously supported the CRS-4 mission in September 2014 and the CRS-11 mission in June 2017. Dragon is the only spacecraft currently flying thats capable of returning significant amounts of cargo to Earth."
133,DRAGON RESUPPLY MISSION (CRS-19) LAUNCH,"DECEMBER 05, 2019",/launches/dragon-resupply-mission-crs-19-launch/," On Thursday, December 5, SpaceX launched its nineteenth Commercial Resupply Services mission (CRS-19) at 12:29 p.m. EST, or 17:29 UTC, from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. Dragon separated from Falcon 9’s second stage about nine minutes after liftoff and attached to the space station on Sunday, December 8.,  The Dragon spacecraft that is supporting the CRS-19 mission previously supported the CRS-4 mission in September 2014 and the CRS-11 mission in June 2017. Following stage separation, SpaceX recovered Falcon 9’s first stage on the Of Course I Still Love You droneship, which was stationed in the Atlantic Ocean. You can watch a replay of launch above and learn more about the missionhere."
134,STARLINK MISSION,"NOVEMBER 11, 2019",/launches/starlink-mission-11-11-2019/," On Monday, November 11 at 9:56 a.m. EST, 14:56 UTC, SpaceX launched 60 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Air Force Station, Florida. Falcon 9’s first stage supported the Iridium-7, SAOCOM-1A, and Nusantara Satu missions, and the fairing was previously flown on Falcon Heavy’s Arabsat-6A mission earlier this year.,  Following stage separation, SpaceX landed Falcon 9’s first stage on the “Of Course I Still Love You” droneship, which was stationed in the Atlantic Ocean. You can watch a replay of launch above and learn more about the missionhere."
135,DRAGON RESUPPLY MISSION (CRS-18) SPLASHDOWN,"AUGUST 29, 2019",/launches/dragon-resupply-mission-crs-18-splashdown/," Packed with about 3,300 pounds of cargo and science, SpaceX’s Dragon spacecraft departed the International Space Station on Tuesday, August 27. A parachute-assisted splashdown in the Pacific Ocean occurred that afternoon just west of Baja, California. A recovery team then secured Dragon on a boat for the return trip to the Port of Los Angeles, wrapping up SpaceX’s 18th resupply mission to the space station.,  Filled with approximately 5,000 pounds of supplies and payloads, Dragon launched aboard a Falcon 9 rocket on July 25, 2019 from Cape Canaveral Air Force Station in Florida, and arrived at the space station on July 27. The Dragon spacecraft supporting the CRS-18 mission previously supported the CRS-6 mission in April 2015 and the CRS-13 mission in December 2017. Dragon is the only spacecraft currently flying that is capable of returning significant amounts of cargo to Earth."
